Player,Team,Conf,Year,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
Tanner Mordecai*,Wisconsin,Big Ten,2023,10,204,314,65,2066,9,2.9,4,1.3,6.6,6.58,10.1,206.6,127.1,
Anthony Colandrea,Virginia,ACC,2023,8,154,246,62.6,1958,13,5.3,9,3.7,8,7.37,12.7,244.8,139.6,
Luke Altmyer,Illinois,Big Ten,2023,9,175,270,64.8,1883,13,4.8,10,3.7,7,6.27,10.8,209.2,131.9,
Athan Kaliakmanis*,Minnesota,Big Ten,2023,12,156,294,53.1,1838,14,4.8,9,3.1,6.3,5.83,11.8,153.2,115.2,
Ben Bryant*,Northwestern,Big Ten,2023,9,173,277,62.5,1807,13,4.7,6,2.2,6.5,6.49,10.4,200.8,128.4,
Brennan Armstrong*,North Carolina State,ACC,2023,12,160,262,61.1,1785,11,4.2,7,2.7,6.8,6.45,11.2,148.8,126.8,
Behren Morton*,Texas Tech,Big 12,2023,10,182,293,62.1,1757,15,5.1,8,2.7,6,5.79,9.7,175.7,123.9,
Payton Thorne*,Auburn,SEC,2023,13,162,265,61.1,1755,16,6,10,3.8,6.6,6.13,10.8,135,129.1,
Gavin Wimsatt*,Rutgers,Big Ten,2023,13,138,289,47.8,1735,9,3.1,8,2.8,6,5.38,12.6,133.5,102.9,
Kedon Slovis,BYU,Big 12,2023,8,153,266,57.5,1716,12,4.5,6,2.3,6.5,6.34,11.2,214.5,122.1,
Garrett Shrader*,Syracuse,ACC,2023,11,134,214,62.6,1686,13,6.1,6,2.8,7.9,7.83,12.6,153.3,143.2,
Will Rogers,Mississippi State,SEC,2023,8,142,237,59.9,1626,12,5.1,4,1.7,6.9,7.11,11.5,203.3,130.9,
Brendan Sorsby,Indiana,Big Ten,2023,10,135,237,57,1587,15,6.3,5,2.1,6.7,7.01,11.8,158.7,129.9,
Mitch Griffis,Wake Forest,ACC,2023,9,124,207,59.9,1553,9,4.3,7,3.4,7.5,6.85,12.5,172.6,130.5,
